frequency	count
1	36590
2	9181
3	4668
4	3011
5	2162
6	1608
7	1282
8	995
9	906
10	762
11	665
12	590
13	445
14	423
16	375
15	362
17	331
18	280
19	274
21	236
22	235
20	233
23	232
25	195
24	191
26	170
27	165
31	149
28	143
30	142
33	131
29	122
32	111
35	107
37	107
34	105
36	102
39	91
41	90
40	87
42	83
38	82
44	80
43	79
49	76
46	72
45	69
47	65
48	65
55	60
51	59
54	58
56	58
50	57
52	52
60	45
53	44
57	44
62	44
63	43
61	40
59	39
64	38
75	38
58	37
67	36
70	36
82	36
85	36
65	33
74	33
68	32
66	31
69	31
77	30
72	29
76	29
83	29
71	28
78	27
79	27
80	27
95	26
73	25
96	24
101	24
111	24
90	23
81	22
93	22
87	21
94	21
97	21
107	21
84	20
89	20
92	20
103	20
88	19
98	19
113	19
123	19
86	18
91	18
114	18
115	18
119	17
100	16
122	16
102	15
116	15
124	15
130	15
139	15
143	15
149	15
106	14
109	14
128	14
142	14
152	14
99	13
104	13
105	13
125	13
127	13
131	13
176	13
132	12
135	12
158	12
170	12
118	11
126	11
129	11
133	11
134	11
136	11
140	11
217	11
120	10
121	10
150	10
172	10
108	9
110	9
112	9
117	9
137	9
138	9
146	9
154	9
166	9
171	9
183	9
189	9
155	8
156	8
160	8
178	8
179	8
180	8
235	8
250	8
144	7
145	7
159	7
163	7
168	7
174	7
185	7
187	7
194	7
196	7
200	7
201	7
206	7
226	7
228	7
252	7
258	7
141	6
147	6
151	6
153	6
157	6
162	6
164	6
165	6
175	6
190	6
191	6
192	6
198	6
205	6
209	6
210	6
212	6
219	6
222	6
237	6
251	6
253	6
261	6
291	6
148	5
161	5
169	5
188	5
203	5
208	5
225	5
229	5
249	5
259	5
265	5
277	5
283	5
325	5
349	5
455	5
510	5
602	5
173	4
186	4
202	4
213	4
233	4
254	4
255	4
273	4
293	4
295	4
298	4
315	4
322	4
331	4
335	4
356	4
359	4
366	4
470	4
482	4
514	4
653	4
167	3
181	3
182	3
195	3
197	3
199	3
214	3
215	3
216	3
218	3
220	3
223	3
224	3
227	3
232	3
244	3
245	3
246	3
247	3
262	3
264	3
267	3
269	3
274	3
278	3
280	3
281	3
284	3
290	3
292	3
294	3
296	3
303	3
310	3
317	3
319	3
336	3
350	3
355	3
375	3
378	3
394	3
417	3
420	3
425	3
430	3
468	3
471	3
485	3
487	3
492	3
533	3
538	3
544	3
615	3
643	3
670	3
193	2
204	2
207	2
221	2
231	2
236	2
239	2
241	2
242	2
243	2
260	2
263	2
266	2
270	2
276	2
285	2
288	2
297	2
302	2
304	2
305	2
307	2
309	2
312	2
321	2
323	2
327	2
329	2
333	2
337	2
343	2
344	2
345	2
352	2
354	2
358	2
361	2
362	2
365	2
368	2
371	2
373	2
376	2
380	2
384	2
385	2
388	2
390	2
391	2
393	2
403	2
408	2
410	2
424	2
431	2
447	2
448	2
464	2
466	2
467	2
469	2
473	2
488	2
493	2
499	2
503	2
505	2
508	2
509	2
519	2
524	2
528	2
534	2
536	2
537	2
546	2
548	2
568	2
572	2
588	2
601	2
608	2
616	2
625	2
630	2
664	2
669	2
675	2
682	2
754	2
792	2
817	2
848	2
902	2
959	2
1037	2
1294	2
1586	2
2042	2
177	1
211	1
230	1
238	1
240	1
256	1
257	1
268	1
272	1
279	1
282	1
286	1
289	1
300	1
301	1
306	1
308	1
311	1
313	1
314	1
318	1
324	1
326	1
330	1
334	1
338	1
339	1
340	1
341	1
346	1
347	1
348	1
369	1
372	1
374	1
377	1
379	1
381	1
382	1
383	1
387	1
389	1
392	1
396	1
397	1
398	1
399	1
400	1
401	1
404	1
405	1
406	1
413	1
415	1
416	1
418	1
