frequency	count
1	113239
2	26934
3	12455
4	7500
5	5002
6	3758
7	2819
8	2286
9	1991
10	1561
11	1403
12	1175
13	1028
15	873
14	863
16	730
17	650
18	637
19	560
20	547
21	499
22	438
23	405
24	381
26	356
25	353
27	312
28	285
29	277
32	276
30	275
31	259
34	225
33	222
35	202
38	188
36	183
37	170
40	161
39	160
42	149
41	147
44	145
43	142
49	135
48	128
45	118
47	116
46	115
53	110
52	108
57	107
54	98
51	97
55	95
56	90
58	90
60	90
50	89
66	89
61	82
63	80
59	79
62	78
64	75
71	74
65	72
68	71
70	57
72	57
75	56
77	56
81	53
73	52
86	51
76	50
78	49
74	47
67	46
69	46
79	45
80	45
87	45
89	45
82	44
88	44
91	44
84	43
83	42
102	42
92	39
90	38
93	38
101	38
116	37
95	36
96	36
111	36
85	35
105	35
108	34
121	34
100	33
103	33
106	33
94	32
132	31
104	30
119	30
124	30
98	29
99	29
109	28
112	28
136	28
113	27
129	27
128	26
133	26
135	26
137	26
97	25
115	25
114	24
123	24
130	24
131	24
184	24
110	23
154	22
151	21
174	21
120	20
125	20
146	20
159	20
117	19
118	19
122	19
141	19
148	19
153	19
171	19
180	19
183	19
150	18
155	18
165	18
176	18
181	18
236	18
126	17
127	17
142	17
147	17
158	17
169	17
187	17
212	17
144	16
152	16
157	16
162	16
167	16
177	16
195	16
138	15
156	15
160	15
166	15
168	15
188	15
238	15
139	14
213	14
233	14
149	13
161	13
164	13
196	13
209	13
107	12
143	12
178	12
182	12
189	12
191	12
201	12
222	12
224	12
234	12
241	12
134	11
140	11
145	11
163	11
185	11
192	11
198	11
199	11
217	11
219	11
225	11
230	11
231	11
250	11
175	10
194	10
200	10
206	10
214	10
227	10
244	10
276	10
170	9
207	9
229	9
247	9
257	9
264	9
269	9
271	9
306	9
372	9
172	8
173	8
179	8
186	8
190	8
197	8
202	8
203	8
208	8
215	8
216	8
218	8
228	8
258	8
265	8
267	8
287	8
296	8
319	8
328	8
334	8
335	8
337	8
204	7
220	7
221	7
223	7
239	7
243	7
245	7
249	7
255	7
272	7
273	7
292	7
294	7
300	7
305	7
307	7
310	7
316	7
318	7
341	7
363	7
434	7
478	7
193	6
210	6
242	6
251	6
252	6
260	6
263	6
266	6
277	6
279	6
280	6
282	6
284	6
297	6
302	6
312	6
327	6
331	6
338	6
342	6
354	6
419	6
527	6
560	6
739	6
211	5
226	5
232	5
240	5
254	5
262	5
268	5
275	5
278	5
285	5
286	5
288	5
290	5
293	5
301	5
315	5
320	5
323	5
344	5
347	5
350	5
353	5
355	5
366	5
370	5
375	5
377	5
400	5
402	5
