frequency	count
1	9542
2	3254
3	1579
4	1216
5	727
6	649
7	508
8	405
9	338
10	300
11	261
12	243
13	220
14	182
16	165
15	160
18	158
17	147
19	134
21	118
22	113
20	111
25	97
24	95
23	91
26	91
30	67
28	66
31	65
33	64
27	62
34	58
32	57
35	53
29	51
36	48
37	47
41	44
39	43
43	43
40	40
38	38
50	35
44	33
48	33
42	31
46	31
45	30
51	30
47	29
53	28
57	28
49	27
55	27
58	26
54	25
56	25
66	25
72	25
62	23
64	23
52	22
65	22
73	22
60	21
61	20
63	20
69	19
71	19
87	19
59	18
68	18
74	18
82	18
89	18
67	17
75	17
85	17
83	16
76	15
81	15
80	14
86	14
90	14
100	14
101	14
111	14
70	13
88	13
92	13
98	13
102	13
105	13
77	12
84	12
91	12
94	12
99	12
107	12
125	12
79	11
93	11
103	11
106	11
139	11
78	10
97	10
110	10
135	10
164	10
95	9
96	9
122	9
132	9
137	9
138	9
158	9
180	9
115	8
116	8
119	8
121	8
123	8
133	8
146	8
157	8
163	8
108	7
109	7
113	7
118	7
120	7
126	7
128	7
140	7
143	7
152	7
156	7
162	7
185	7
247	7
112	6
124	6
129	6
145	6
149	6
155	6
170	6
174	6
175	6
181	6
182	6
183	6
188	6
192	6
221	6
261	6
265	6
294	6
114	5
127	5
141	5
142	5
159	5
166	5
169	5
171	5
179	5
184	5
197	5
199	5
206	5
219	5
220	5
264	5
354	5
1819	5
104	4
136	4
148	4
150	4
153	4
160	4
187	4
194	4
198	4
204	4
210	4
216	4
223	4
232	4
234	4
256	4
257	4
259	4
263	4
275	4
278	4
286	4
305	4
318	4
349	4
382	4
435	4
117	3
130	3
131	3
147	3
151	3
165	3
172	3
173	3
176	3
178	3
190	3
196	3
200	3
205	3
212	3
213	3
215	3
218	3
225	3
226	3
228	3
230	3
237	3
241	3
243	3
249	3
251	3
266	3
268	3
279	3
281	3
287	3
299	3
317	3
326	3
346	3
350	3
368	3
370	3
375	3
381	3
410	3
411	3
414	3
428	3
455	3
512	3
534	3
666	3
682	3
724	3
154	2
161	2
167	2
177	2
186	2
193	2
195	2
214	2
224	2
231	2
233	2
236	2
238	2
240	2
245	2
248	2
253	2
260	2
273	2
280	2
289	2
291	2
293	2
298	2
300	2
306	2
308	2
309	2
310	2
311	2
312	2
313	2
314	2
322	2
328	2
333	2
334	2
335	2
342	2
344	2
352	2
353	2
362	2
380	2
383	2
391	2
393	2
397	2
400	2
413	2
419	2
443	2
447	2
452	2
460	2
463	2
467	2
470	2
472	2
473	2
480	2
481	2
485	2
490	2
496	2
499	2
506	2
508	2
527	2
544	2
561	2
577	2
579	2
584	2
599	2
601	2
606	2
631	2
651	2
654	2
663	2
695	2
704	2
756	2
761	2
787	2
846	2
856	2
904	2
952	2
960	2
965	2
990	2
1020	2
1028	2
1353	2
1407	2
1765	2
3424	2
134	1
144	1
168	1
189	1
201	1
202	1
203	1
207	1
208	1
209	1
227	1
229	1
235	1
239	1
242	1
244	1
246	1
252	1
254	1
255	1
262	1
267	1
270	1
271	1
272	1
276	1
282	1
283	1
284	1
285	1
290	1
295	1
301	1
304	1
307	1
315	1
320	1
324	1
325	1
329	1
330	1
336	1
337	1
338	1
339	1
341	1
343	1
347	1
351	1
355	1
359	1
361	1
363	1
364	1
367	1
372	1
373	1
374	1
378	1
384	1
386	1
387	1
388	1
389	1
394	1
395	1
399	1
401	1
407	1
408	1
409	1
412	1
416	1
420	1
423	1
425	1
426	1
429	1
430	1
432	1
433	1
436	1
439	1
444	1
445	1
448	1
449	1
454	1
456	1
457	1
461	1
462	1
465	1
469	1
